title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Günter Grass,Heinrich Vormweg,2000-01-01,181,polski,Wydawnictwo Dolnośląskie,"biografia, autobiografia, pamiętnik",papier,3,2,Ta książka nie posiada jeszcze opisu.,"7,3",8370237967,https://lubimyczytac.pl/ksiazka/206635/gunter-grass
Black Boy,Richard Wright,2000-01-01,262,angielski,Vintage,"biografia, autobiografia, pamiętnik",papier,8,0,"At four years of age, Richard Wright set fire to his home; at five his father deserted his family; by six Richard was - temporarily - an alcoholic. Moved from home to home, he had had, by the age of twelve, only one year's formal education. It was in saloons, railroad yards and streets that he learned the facts about life under white subjection, about fear, hunger and hatred. Gradually he learned to survive in a world of white hostility, secretly satisfying his craving for books and knowledge until the time when he could follow his dreams of justice and opportunity in the north.","7,0",9780099285069,https://lubimyczytac.pl/ksiazka/111289/black-boy
Wspomnienia z umęczonego Wołynia,Antoni Przybysz,2000-01-01,102,polski,Nortom,"biografia, autobiografia, pamiętnik",papier,1,1,"Książka dokumentująca zbrodnie UPA na Wołyniu - w tym rejonie wschodnich kresów Rzeczypospolitej, gdzie masowe ludobójstwo ludności polskiej zostało zapoczątkowane. Szczególnie cenna jest relacja o zbrodniach nacjonalistów ukraińskich dokonanych już we wrześniu 1939 roku, na rozbrojonych żołnierzach polskich, uczestnikach kampanii wrześniowej.","6,0",8385829822,https://lubimyczytac.pl/ksiazka/172862/wspomnienia-z-umeczonego-wolynia
Zacznijmy od pomidorów,Lucyna Legut,2000-01-01,64,polski,Akapit Press,"biografia, autobiografia, pamiętnik",papier,2,3,"Autobiografia Lucyny Legut - aktorki, malarki i pisarki.","7,0",,https://lubimyczytac.pl/ksiazka/4937400/zacznijmy-od-pomidorow
Podania i legendy z sandomierskiego. Część I (przyczynek do mitologii sandomierskiej),Józef Myjak,2000-01-01,80,polski,PAIR – Prywatna Agencja Informacji Regionalnej Myjakpress,"baśnie, legendy, podania",papier,1,0,"W książce zebrano legendy, mity z okolic Sandomierza jak i samego miasta.","7,0",8386436476,https://lubimyczytac.pl/ksiazka/5020138/podania-i-legendy-z-sandomierskiego-czesc-i-przyczynek-do-mitologii-sandomierskiej
Warmia z oddali. Odpominania,Hubert Orłowski,2000-01-01,159,polski,"Stowarzyszenie Wspólnota Kulturowa ""Borussia""","biografia, autobiografia, pamiętnik",papier,1,0,"Autor, wybitny znawca literatury niemieckojęzycznej XX wieku, ""odpomina"" przeszłość swoją, rodziny, wsi, Warmii - korzystając obficie z relacji matki. Jest równocześnie chłopcem z Podlejk, namiętnym pożeraczem książek, ministrantem z gietrzwałdzkiego kościoła i europejskim uczonym, który patrzy na przeszłość z perspektywy badacza. Książka jest tym samym autobiograficzną próbą przedstawienia polsko-niemieckiego pogranicza","7,0",8391337715,https://lubimyczytac.pl/ksiazka/194398/warmia-z-oddali-odpominania
Czkawka,Jerzy Janicki,2000-01-01,263,polski,Wydawnictwo Iskry,"biografia, autobiografia, pamiętnik",papier,15,7,"""...Jest wiec ta książka tylko substytutem, namiastką, nie do końca spłaconym wekslem zaciągniętym od Ziemi tam pozostawionej. Jest nieistniejącym notesem, którego z lenistwa czy zadufania nie chciało mi się prowadzić. I teraz odbija mi się to czkawką. Czkawka. Naukowo - singulis. I wcale nie zamierzam szukać na tę dolegliwość lekarstwa...""Fragment ze Wstępu","7,1",8320716624,https://lubimyczytac.pl/ksiazka/221361/czkawka
Niecodziennik Cały,Jan Twardowski,2000-01-01,90,polski,Znak,"biografia, autobiografia, pamiętnik",papier,91,11,"Pełna wersja jednego z największych bestsellerów ostatnich lat (znacznie ponad 100 tysięcy sprzedanych egzemplarzy) zawiera zarówno wznowienie porzednich zapisków Niecodziennika, jak i ukazującą się po raz pierwszy nową porcję anegdot, wspomnień, ..","7,7",8370069886,https://lubimyczytac.pl/ksiazka/39078/niecodziennik-caly
Damy w kolorze sepii,Aldona Cholewianka-Kruszyńska,2000-01-01,116,polski,Fundacja na rzecz Muzeum Zamku w Łańcucie,"biografia, autobiografia, pamiętnik",papier,2,1,"Książka obejmuje wybrane biografie przedstawicielek arystokracji, np: Ludwice z Sosnowskich, Marii z Czartoryskch- księżnej Wirtemberskiej, Izabeli Czartoryskiej,Katarzyny z Branickich.","7,5",9788386697038,https://lubimyczytac.pl/ksiazka/4848960/damy-w-kolorze-sepii
Zwichrzona młodość,Gabriela Morawiak,2000-01-01,256,polski,Margrafsen,"biografia, autobiografia, pamiętnik",papier,1,0,"Pełna humoru, ale i zadumy nad życiem autobiograficzna powieść Gabrieli Morawiak. Niezwykły debiut autorski w wieku 70 lat.","9,0",8387070912,https://lubimyczytac.pl/ksiazka/4940532/zwichrzona-mlodosc
Imperator „końca świata”. Fryderyk II Hohenstauf (1194-1250),Jerzy Hauziński,2000-01-01,215,polski,Marpress,"biografia, autobiografia, pamiętnik",papier,9,0,"Dobrze napisana monografia o jednym z najciekawszych władców średniowiecza. Fryderyk II, cesarz który układami odzyskał Jerozolimę, a na własnym dworze propagował naukę arabską.","8,1",8387291684,https://lubimyczytac.pl/ksiazka/54370/imperator-konca-swiata-fryderyk-ii-hohenstauf-1194-1250
Wspomnienia z Krzyżowej 1930-1945,Freya von Moltke,2000-01-01,,polski,Wydawnictwo Polsko-Niemieckie,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"7,0",,https://lubimyczytac.pl/ksiazka/4844130/wspomnienia-z-krzyzowej-1930-1945
"Aleksander I. Car Rosji, król Polski",Marian Kamil Dziewanowski,2000-01-01,382,polski,Atla 2,"biografia, autobiografia, pamiętnik",papier,4,0,"""Zbeletryzowana i napisana przystępnym językiem i nie bez pewnej dozysympatii dla bohatera biografia Aleksandra I. Autor przedstawia pokrótce sytuację dynastyczną w Rosji od czasów Piotra Wielkiego.Szczególną uwagą darzy postacie Katarzyny II i Pawła I - babki i ojcaAleksandra. Wzajemna niechęć obojga miała spory wpływ na wychowaniemłodego cara, którym zajęła się przede wszystkim babka. Na jegokształtowanie się miały też wpływ: wczesne zawarcie małżeństwa (w wieku16 lat),nauczanie Lapharea (liberalne, oświeceniowe idee),przyjaźń zPolakiem Adamem Czartoryskim oraz wstąpienie do loży masońskiej.Małżeństwo Aleksandra okazuje się być nieudane - młodzieniec nieokazuje zainteresowania żoną, a kiedy ta zaczyna przejawiać skłonnościlesbijskie, popycha ją do romansu z Czartoryskim. ...(..)""","6,8",83-86882-23-9,https://lubimyczytac.pl/ksiazka/57657/aleksander-i-car-rosji-krol-polski
55 Years in Five Acts: My Life in Opera,Astrid Varnay,2000-01-01,392,angielski,Northeastern University Press,"biografia, autobiografia, pamiętnik",papier,1,0,"For Astrid Varnay, opera was the family business. The daughter of coloratura soprano Mária Jávor and dramatic tenor Alexander Várnay, she literally grew up backstage at the opera. Vocally and musically trained by her mother and mentor (and later husband) Hermann Weigert, she was just twenty-three years old when she made her unofficial debut at the Metropolitan Opera as a last-minute replacement for the suddenly ill Lotte Lehmann. Varnay's critically acclaimed performance as Sieglinde in Die Walküre catapulted her into the limelight.Varnay reflects on her remarkable life in opera, discussing her signature roles and performances, vocal preparation and technique, interpretive acting style, and her seamless transition from leading soprano to character roles, including her switch from Elektra to Klytemnästra in Strauss's Elektra.Her engaging and witty memoir is filled with frank, often critical, observations about many of the most significant vocal artists, conductors, and directors of the twentieth century. She describes her lifelong friendship with operatic idol Kirsten Flagstad, the years at the Met and conflicts with Rudolf Bing, her appearances at the Bayreuth and Salzburg Festivals, and her artistic rift with Herbert von Karajan.","9,0",,https://lubimyczytac.pl/ksiazka/4820236/55-years-in-five-acts-my-life-in-opera
Cameron Townsend : Dobra Nowina w każdym języku,Janet & Jeff Benge,2000-01-01,167,polski,Pojednanie,"biografia, autobiografia, pamiętnik",papier,1,0,"Indianin był oburzony, gdy Cam próbował wręczyć mu traktat w języku hiszpańskim. ""Czy masz coś w języku Cakchiquel?""- zapytał. ""Przykro mi. Niestety nie""- odpowiedział Cam. ""Dlaczego?- odciął się mężczyzna. ""Skoro twój Bóg jest taki potężny, dlaczego nie potrafi mówić moim językiem?""W jednej decydującej chwili Cameron Townsend wiedział, że Bóg powołał go, by przetłumaczył Biblię na język swoich przyjaciół w Gwatemali. Dla Cama, trudności z tym związane były niewielkie w porównaniu ze wspaniałą nagrodą, jaką była pomoc różnym ludom w Gwatemali, Meksyku, Peru w samodzielnym czytaniu przemieniającego życie Słowa Bożego. Cam, który był szybki w działaniu i nie poddawał się łatwo, założył Misję Tłumaczy Biblii im. Wycliffe’a, z wizją udostępnienia Dobrej Nowiny w każdym języku świata. Od 1942 roku, w ramach tej misji przetłumaczono Pismo Święte na setki języków, rozpowszechniając Słowo Boże wśród ludzi na całym świecie.","7,0",9788391221044,https://lubimyczytac.pl/ksiazka/311267/cameron-townsend-dobra-nowina-w-kazdym-jezyku
W okopach. Pamiętnik kobiety-lekarza batalionu,Maria Zdziarska-Zaleska,2000-01-01,195,polski,Lodart,"biografia, autobiografia, pamiętnik",papier,0,0,Pamiętnik z okresu I wojny światowej i walk z bolszewikami. Wydany po raz pierwszy w 1934 roku. Ukazało się także wydanie bezdebitowe w 1985 roku.,"0,0",8387202398,https://lubimyczytac.pl/ksiazka/3818352/w-okopach-pamietnik-kobiety-lekarza-batalionu
Winston Churchill,Robert Blake,2000-01-01,96,polski,Wiedza Powszechna,"biografia, autobiografia, pamiętnik",papier,4,0,Ta książka nie posiada jeszcze opisu.,"3,8",832141186X,https://lubimyczytac.pl/ksiazka/4846426/winston-churchill
Niemcy w Siemiechowie 1939-1945,Antoni Maria Kwiek,2000-01-01,120,polski,Antoni Maria Kwiek,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"7,0",8391357511,https://lubimyczytac.pl/ksiazka/4902388/niemcy-w-siemiechowie-1939-1945
Alfred Hitchcock,Donald Spoto,2000-01-01,630,polski,ALFA,"biografia, autobiografia, pamiętnik",papier,27,4,"Doskonała, nagrodzona Edgarem biografia tajemniczej, broniącej swej prywatności postaci - reżysera ""Psychozy"", ""Zawrotu głowy"", ""Okna na podwórze"", ""Ptaków"" i czterdziestu innych filmów - Alfreda Hitchcocka.","7,6",8371791917,https://lubimyczytac.pl/ksiazka/86341/alfred-hitchcock
Niedokończona gawęda,Maria Kurecka,2000-01-01,240,polski,Tower Press,"biografia, autobiografia, pamiętnik",papier,6,2,"Wspominając Gdańsk jako Miasto i tak je nazywając, Kurecka czyni z niego - podobnie jak Grass - model świata. [...] nie pisze ""barokowej"", iluzjonistycznej powieści, lecz wywołuje fotografie pamięci, których wartość jest nieprzepłacona. Dowiadujemy się o takich szczegółach wystroju gdańskich ulic, umeblowaniu gdańskich mieszkań, sposobie bycia gdańskich obywateli, o jakich nam się nie śniło. [...] Inaczej oczywiście przedstawia się wojenna Warszawa. Ale i tutaj zamiar Kureckiej jest zupełnie niekonwencjonalny.","7,0",8387342203,https://lubimyczytac.pl/ksiazka/131142/niedokonczona-gaweda
Lubię żyć,Maria Szelestowska,2000-01-01,128,polski,Czytelnik,"biografia, autobiografia, pamiętnik",papier,25,3,"Jaką mądrość pragnę przekazać ludziom, którzy nie widzieli tego, co ja widziałam, ani nie przeżyli tego, co ja przeżyłam?Uważam, że Hitler przeprowadził okrutny TEST.Pozornie tylko Polaków, w rzeczywistości całą ludzkość podzielił na trzy kategorie:Po pierwsze na tych, którzy zaryzykowali i nieśli pomoc prześladowanym podczas hitlerowskiej okupacji.Po drugie na tych neutralnych - oni nie zaszkodziliby zaszczutemu człowiekowi, nie pogłębiliby jego niedoli, bo uważaliby to za niegodne i niegodziwe, ale również by mu nie pomogli.Trzecia grupa, bardzo nieliczna, to ci, którzy potraktowali okupację jako życiową szansę na wzbogacenie się, osiągnięcie przywilejów.Niestety, obawiam się, że hitlerowski test nigdy się nie zdezaktualizuje, odradza się jak hydra i do tej pory podnosi swój łeb...","7,3",83-07-02782-9,https://lubimyczytac.pl/ksiazka/116057/lubie-zyc
"Aleje czarów : spacery, sylwety, zagadki i zwierzenia literackie",Juliusz Wiktor Gomulicki,2000-01-01,,polski,DiG,"biografia, autobiografia, pamiętnik",papier,2,0,"Zbiór esejów wybitnego polskiego filologa, edytora, bibliofila i varsavianisty, podzielony na: Spacery literackie, Sylwety i portrety, Zagadki literackie, Varsaviana i O sobie. Z każdego z tych rozdziałów, jak mówi sam Autor, ""wyziera coś czarownego albo czarodziejskiego"" - czy to będzie spacer Traktem Królewskim, Mazowiecką, czy opowieść np. o Julianie Wołoszynowskim lub Adamie Mauersbergerze, czy też o sobie samym, rozwiązującym skomplikowane zagadki tekstologiczne i interpretatorskie.","6,5",9788371811616,https://lubimyczytac.pl/ksiazka/269219/aleje-czarow-spacery-sylwety-zagadki-i-zwierzenia-literackie
Złota księga Wydziału Filologicznego - Uniwersytet Jagielloński,praca zbiorowa,2000-01-01,816,polski,Wydawnictwo Uniwersytetu Jagiellońskiego,"biografia, autobiografia, pamiętnik",papier,1,0,Ta książka nie posiada jeszcze opisu.,"6,0",837188298X,https://lubimyczytac.pl/ksiazka/4967561/zlota-ksiega-wydzialu-filologicznego---uniwersytet-jagiellonski
Listy z Afryki i nie tylko,Kazimierz Kubat,2000-01-01,288,polski,Nasza Parafia,"biografia, autobiografia, pamiętnik",papier,1,1,Ta książka nie posiada jeszcze opisu.,"7,0",8389645580,https://lubimyczytac.pl/ksiazka/4819445/listy-z-afryki-i-nie-tylko
Dynastia Kennedych,Peter Collier,2000-01-01,340,polski,Wydawnictwo Literackie,"biografia, autobiografia, pamiętnik",papier,2,2,"Peter Collier i David Horowitz, pracując nad Dynastią Kennedych, przeprowadzili setki wywiadów, przestudiowali tysiące dokumentów, dotarli do wielu nie publikowanych wcześniej materiałów. Stworzyli książkę przekonującą i wiarygodną, przedstawiając w niej historię budowania finansowej i politycznej potęgi rodu oraz okres jego największego rozkwitu - zakończony tragiczną śmiercią prezydenta Johna F. Kennedy'ego i jego brata, senatora, Roberta. Opisali proces tworzenia się ""legendy Kennedych"" i gwałtownego, nie pozbawionego dramatycznych epizodów wyzwalania się spod jej wpływu najmłodszej generacji rodu.","5,5",8308029264,https://lubimyczytac.pl/ksiazka/218674/dynastia-kennedych
Cena sławy,Marta Sztokfisz,2000-01-01,174,polski,Bertelsmann Media,"biografia, autobiografia, pamiętnik",papier,12,2,"Myślimy o nich, o tych, których znamy z kina, telewizji, estrady lub nagrań płytowych, że życie układa się im jak piknik albo bal. Zazdrościmy im sławy, pieniędzy powodzenia. Przyglądam się im od lat. Uwierzcie mi: nie są wybrańcami bogów. Tak samo jak nas dopada ich słabość, zwątpienie, strach, choroba... Uparcie i konsekwentnie strzegą jednak własnych tajemnic, własnej prywatności - nawet przed autorką tej książki, próbując opisać cenę, jaką zapłacili za zdobytą sławę. Chciałam wejść do ich strzeżonego świata. Jedni mi na to pozwolili, inni nie. Nasi idole nie lubią odkrywać wszystkich kart, wolą mówić o blasku sławy niż o jej kosztach.Marta Sztokfisz","5,8",83-7227-654-4,https://lubimyczytac.pl/ksiazka/106755/cena-slawy
Myśliwskie życie,Bogdan Michalak,2000-01-01,120,polski,Łowiec Polski,"biografia, autobiografia, pamiętnik",papier,0,0,Po publikacji o psach i wabieniu autor tym razem wspomina swoje polowania na różnego zwierza.,"0,0",,https://lubimyczytac.pl/ksiazka/5065354/mysliwskie-zycie
Marek Hłasko Młody Gniewny,Danuta Kalinowska,2000-01-01,88,polski,Telbit,"biografia, autobiografia, pamiętnik",papier,17,2,"Kobiety w życiu Marka Hłaski odgrywały ogromną rolę. Jednocześnie były zbyt piękne i zbyt występne, żeby je kochać. Poszukuje on, podobnie jak jego bohaterowie, ukochanej kobiety, która jest lekarstwem na samotność mężczyzny; jednak w ""skurw... świecie"" nie tylko nie jest to łatwe, ale wręcz nierealne.","6,2",83-88109-16-2,https://lubimyczytac.pl/ksiazka/108334/marek-hlasko-mlody-gniewny
Zostań z nami,Jacek Moskwa,2000-01-01,381,polski,Świat Książki,"biografia, autobiografia, pamiętnik",papier,2,0,"Jeszcze jedna książka o Janie Pawle II?Tak, ale wyjątkowa!Opowiada o polskich wątkach obecnego pontyfikatu. O tym, co ""papież Wojtyła"" zawdzięcza swoim polskim korzeniom. O wpływie polskiej religijności i polskiej kultury na Jego myśl i praktykę duszpasterską. O jego roli w odmianie oblicza Polski. O tym, jak widzi swój rodzinny kraj i polskie sprawy z tego szczególnego miejsca, na jakie wyniosły Go losy. O tym, czy i jak Polacy rozumieją i przyjmują Jego przesłanie...Wbrew pozorom - nie są to sprawy proste ani jednoznaczne, zwłaszcza na tle ogromnej i rewolucyjnej pracy, jakiej Jan Paweł II dokonuje w Kościele powszechnym.","7,5",8372276668,https://lubimyczytac.pl/ksiazka/310306/zostan-z-nami
Burzliwe fortuny obroty. Mój pamiętnik (1831-1881),Antoni Szymborski,2000-01-01,300,polski,Znak,"biografia, autobiografia, pamiętnik",papier,4,2,"Awanturnicze i barwne losy Antoniego Szymborskiego mogłyby stanowić ilustrację polskiej historii XIX wieku. Typowy dla romantyzmu niepokój ducha, głód przygody, włóczęgi i wolności każe mu rzucać się we wszystkie niepodległościowe awantury, ale z drugiej strony pozytywistyczna trzeźwość skłania go do ”życia praktycznego”, uczenia się zarządzania majątkami rolnymi - co jest jednak gwałtem narzuconym własnej naturze. Żywot to nieprawdopodobny, jakby wymyślony przez mistrza powieści historyczno-przygodowej: ucieczka z domu do powstania wielkopolskiego w wieku lat siedemnastu, pruskie więzienie, walki pod dowództwem Bema w Karpatach, wędrówki po całej Europie, wyprawa do Ameryki, zarabianie na życie sprzedawaniem maślanki w Nowym Jorku, kopanie złota w Kalifornii, podziwianie Niagary, znowu tułaczka po Francji, Hiszpanii, Niemczech, powrót do Wielkopolski, piękna karta w powstaniu styczniowym - obok Francesco Nullo i Langiewicza - Cytadela warszawska i cudowne uwolnienie - zaprawdę, losami tymi można by obdzielić co najmniej kilku ludzi. A wszystko to opowiedziane przez urodzonego gawędziarza, opowiadającego porywająco i smacznie.","7,5",8370068707,https://lubimyczytac.pl/ksiazka/179079/burzliwe-fortuny-obroty-moj-pamietnik-1831-1881
U Szczerbca i Łupaszki,Olgierd Christa,2000-01-01,320,polski,Adiutor,"biografia, autobiografia, pamiętnik",papier,1,0,"Opracowanie Olgierda Christy „U Szczerbca i Łupaszki” wyszło spod pióra świadka i uczestnika historii, który był kolejno członkiem konspiracji niepodległościowej w Wilnie, żołnierzem Armii Krajowej i uczestnikiem operacji Ostra Brama, organizatorem placówki w Samoobronie Nowogródzkiej, oficerem ludowego WP, dowódcą szwadronu oddziałów kadrowych Mobilizacyjnego Ośrodka Wileńskiego Okręgu AK, więźniem politycznym PRL, organizatorem Okręgów Gdańskiego i Wileńskiego w Światowym Związku Żołnierzy AK oraz w latach 1990-1997 wydawcą kilkudziesięciu numerów „Wileńskiego Przekazu”.Książka została ujęta w formę pamiętnika, w którym autor na kanwie swojego życia ukazuje losy i postawy Polaków wileńskich, którzy po utracie niepodległości nie godzili się na kolejne okupacje swej ziemi rodzinnej, a po ekspatriacji głównie na ziemie Polski północnej stawiali bierny - a gdy to było możliwe czynny - opór władzy komunistycznej, wspierając na Podlasiu, Pomorzu i Pojezierzu Mazurskim działania zbrojne 5 Wileńskiej Brygady AK majora Łupaszki. W późniejszych latach opór ten wyrażał się w kolejnych buntach i strajkach na Wybrzeżu, w których nie zabrakło przybyszów z Wileńszczyzny i ich potomków. Trzeba jednak było pół wieku od utraty niepodległości, by Rzeczpospolita Polska odzyskała swą nazwę i suwerenność, a major Łupaszko i jego żołnierze doczekali się pełnej rehabilitacji i tablicy pamiątkowej w gdańskiej bazylice Mariackiej dzięki staraniom ppor. Olgierda Christy.","6,0",8386100354,https://lubimyczytac.pl/ksiazka/203419/u-szczerbca-i-lupaszki
Żywot człowieka uzbrojonego,Krzysztof Polechoński,2000-01-01,234,polski,Wydawnictwo Naukowe PWN,"biografia, autobiografia, pamiętnik",papier,5,0,"Pod chmurami naszej granicy z Sowietami uprawiał przemyt. Przemyt przemytem, ale przedtem był też agentem ekspozytury II Oddziału i z jej polecenia chyba nie raz narażał życie po tamtej stronie. To mu zresztą to życie uratowało i, wskutek interwencji pewnych sfer wojskowych, zmieniło karę śmierci na ciężkie więzienie. Piasecki był naprawdę człowiekiem odważnym. Nie jest blagą, co pisze.  Józef Mackiewicz","8,0",83-01-13323-6,https://lubimyczytac.pl/ksiazka/90961/zywot-czlowieka-uzbrojonego
